"ID","Pedigree","Comments","INDV","F_MISS","acc_v2.7","id_v2.7"
"Ames 19311","A641","other","Ames19311:250032517",0.305075,"Ames19311",250032517
"Ames 19311","A641","other","Ames19311:250034824",0.208122,"Ames19311",250034824
"Ames 19313","C123","other","Ames19313:250033580",0.168293,"Ames19313",250033580
"Ames 19313","C123","other","Ames19313:250033682",0.16514,"Ames19313",250033682
"Ames 19316","CM174","other","Ames19316:250032221",0.0944433,"Ames19316",250032221
"Ames 19318","H107","other","Ames19318:250031436",0.139029,"Ames19318",250031436
"Ames 19319","H95","other","Ames19319:250031680",0.152696,"Ames19319",250031680
"Ames 19319","H95","other","Ames19319:250033727",0.152338,"Ames19319",250033727
"Ames 19321","N28","other","Ames19321:250031444",0.154544,"Ames19321",250031444
"Ames 19323","Oh7B","other","Ames19323:250032910",0.102324,"Ames19323",250032910
"Ames 19324","Pa871","other","Ames19324:250031199",0.204774,"Ames19324",250031199
"Ames 19326","R168","other","Ames19326:250033609",0.150286,"Ames19326",250033609
"Ames 19326","R168","other","Ames19326:250033412",0.14893,"Ames19326",250033412
"Ames 19327","Tx303","other","Ames19327:250041454",0.177008,"Ames19327",250041454
"Ames 19327","Tx303","other","Ames19327:250042351",0.125327,"Ames19327",250042351
"Ames 19327","Tx303","other","Ames19327:250033180",0.14112,"Ames19327",250033180
"Ames 19328","Va22","other","Ames19328:250031547",0.160626,"Ames19328",250031547
"Ames 19328","Va22","other","Ames19328:250033806",0.166921,"Ames19328",250033806
"Ames 19330","W182B","other","Ames19330:250034745",0.135665,"Ames19330",250034745
"Ames 20118","Mo25W","other","Ames20118:250033181",0.243583,"Ames20118",250033181
"Ames 20120","Mo42","other","Ames20120:250031157",0.107745,"Ames20120",250031157
"Ames 20136","H21W","other","Ames20136:250030992",0.411996,"Ames20136",250030992
"Ames 20137","H25W","other","Ames20137:250041733",0.323681,"Ames20137",250041733
"Ames 20137","H25W","other","Ames20137:250030999",0.25017,"Ames20137",250030999
"Ames 20140","Mt42","other","Ames20140:250032343",0.288603,"Ames20140",250032343
"Ames 20140","Mt42","other","Ames20140:250041397",0.298144,"Ames20140",250041397
"Ames 20140","Mt42","other","Ames20140:250035233",0.311428,"Ames20140",250035233
"Ames 20190","CM37","other","Ames20190:250035252",0.237087,"Ames20190",250035252
"Ames 20190","CM37","other","Ames20190:250032163",0.243524,"Ames20190",250032163
"Ames 20190","CM37","other","Ames20190:250042558",0.238765,"Ames20190",250042558
"Ames 20190","CM37","other","Ames20190:250042557",0.243286,"Ames20190",250042557
"Ames 21095","R12","other","Ames21095:250031537",0.311561,"Ames21095",250031537
"Ames 21096","R35","other","Ames21096:250032520",0.267167,"Ames21096",250032520
"Ames 21512","CI31A","other","Ames21512:250035113",0.215598,"Ames21512",250035113
"Ames 22011","C5 Ark 1956","sweet corn","Ames22011:250035077",0.305202,"Ames22011",250035077
"Ames 22012","C7","sweet corn","Ames22012:250031078",0.232515,"Ames22012",250031078
"Ames 22013","C7e","sweet corn","Ames22013:250035074",0.345909,"Ames22013",250035074
"Ames 22014","C8 pseudo","sweet corn","Ames22014:250031051",0.221149,"Ames22014",250031051
"Ames 22015","C12-1","sweet corn","Ames22015:250031376",0.301742,"Ames22015",250031376
"Ames 22015","C12-1","sweet corn","Ames22015:250041457",0.330306,"Ames22015",250041457
"Ames 22016","C15","sweet corn","Ames22016:250031944",0.356564,"Ames22016",250031944
"Ames 22017","C18","sweet corn","Ames22017:250031897",0.33771,"Ames22017",250031897
"Ames 22018","C22","sweet corn","Ames22018:250033590",0.261451,"Ames22018",250033590
"Ames 22019","C27","sweet corn","Ames22019:250033490",0.259114,"Ames22019",250033490
"Ames 22020","C31","sweet corn","Ames22020:250033597",0.15802,"Ames22020",250033597
"Ames 22021","C38","sweet corn","Ames22021:250033477",0.14655,"Ames22021",250033477
"Ames 22022","C40","sweet corn","Ames22022:250031963",0.258191,"Ames22022",250031963
"Ames 22023","C68","sweet corn","Ames22023:250031947",0.33729,"Ames22023",250031947
"Ames 22024","C90","sweet corn","Ames22024:250033465",0.16996,"Ames22024",250033465
"Ames 22025","Ia CG4189","sweet corn","Ames22025:250033800",0.354615,"Ames22025",250033800
"Ames 22026","Ia Ev191","sweet corn","Ames22026:250031186",0.254304,"Ames22026",250031186
"Ames 22027","Ia Ev3004","sweet corn","Ames22027:250031027",0.12924,"Ames22027",250031027
"Ames 22028","Ia 2003","sweet corn","Ames22028:250031388",0.191565,"Ames22028",250031388
"Ames 22029","Ia 2076","sweet corn","Ames22029:250031503",0.205938,"Ames22029",250031503
"Ames 22030","Ia453","sweet corn","Ames22030:250033617",0.199222,"Ames22030",250033617
"Ames 22031","Ia 5145","sweet corn","Ames22031:250033685",0.215711,"Ames22031",250033685
"Ames 22032","IP 39","sweet corn","Ames22032:250031316",0.140223,"Ames22032",250031316
"Ames 22033","Ill 101Q","sweet corn","Ames22033:250031827",0.191895,"Ames22033",250031827
"Ames 22034","M 23","sweet corn","Ames22034:250034880",0.311074,"Ames22034",250034880
"Ames 22035","M 45","sweet corn","Ames22035:250032280",0.209826,"Ames22035",250032280
"Ames 22036","Ma32","sweet corn","Ames22036:250034583",0.178613,"Ames22036",250034583
"Ames 22037","Me 1","sweet corn","Ames22037:250032444",0.392962,"Ames22037",250032444
"Ames 22038","Me 100","sweet corn","Ames22038:250032449",0.369749,"Ames22038",250032449
"Ames 22039","Me 121 Wa","sweet corn","Ames22039:250032511",0.392547,"Ames22039",250032511
"Ames 22040","Me 123","sweet corn","Ames22040:250033559",0.375866,"Ames22040",250033559
"Ames 22041","Me 135","sweet corn","Ames22041:250034721",0.249178,"Ames22041",250034721
"Ames 22042","Me 244 Wa","sweet corn","Ames22042:250034851",0.19461,"Ames22042",250034851
"Ames 22043","Me 244 Wb","sweet corn","Ames22043:250032578",0.315514,"Ames22043",250032578
"Ames 22044","NJ 112","sweet corn","Ames22044:250031419",0.263018,"Ames22044",250031419
"Ames 22045","NJ 116 Wa","sweet corn","Ames22045:250031627",0.352166,"Ames22045",250031627
"Ames 22046","NJ 116 Wb","sweet corn","Ames22046:250031378",0.268896,"Ames22046",250031378
"Ames 22047","NJ 159","sweet corn","Ames22047:250033737",0.213274,"Ames22047",250033737
"Ames 22048","P39M96","sweet corn","Ames22048:250034795",0.157497,"Ames22048",250034795
"Ames 22049","P51","sweet corn","Ames22049:250031435",0.23971,"Ames22049",250031435
"Ames 22050","P51wx","sweet corn","Ames22050:250031703",0.203309,"Ames22050",250031703
"Ames 22051","W 1736","sweet corn","Ames22051:250033093",0.188165,"Ames22051",250033093
"Ames 22052","W 3607","sweet corn","Ames22052:250032312",0.247132,"Ames22052",250032312
"Ames 22053","W 3647","sweet corn","Ames22053:250034856",0.307492,"Ames22053",250034856
"Ames 22054","W 3722","sweet corn","Ames22054:250034592",0.277793,"Ames22054",250034592
"Ames 22055","W 3742","sweet corn","Ames22055:250034561",0.199387,"Ames22055",250034561
"Ames 22056","W 5543","sweet corn","Ames22056:250033070",0.181208,"Ames22056",250033070
"Ames 22057","W 5552","sweet corn","Ames22057:250033832",0.216953,"Ames22057",250033832
"Ames 22058","W 5579","sweet corn","Ames22058:250041438",0.219182,"Ames22058",250041438
"Ames 22058","W 5579","sweet corn","Ames22058:250034805",0.218113,"Ames22058",250034805
"Ames 22059","W 6366","sweet corn","Ames22059:250032556",0.247018,"Ames22059",250032556
"Ames 22059","W 6366","sweet corn","Ames22059:250041487",0.298894,"Ames22059",250041487
"Ames 22060","W 6462","sweet corn","Ames22060:250041439",0.215296,"Ames22060",250041439
"Ames 22060","W 6462","sweet corn","Ames22060:250034542",0.21652,"Ames22060",250034542
"Ames 22061","W 6714","sweet corn","Ames22061:250034883",0.238702,"Ames22061",250034883
"Ames 22062","W 6720-1","sweet corn","Ames22062:250041414",0.198861,"Ames22062",250041414
"Ames 22062","W 6720-1","sweet corn","Ames22062:250032543",0.182307,"Ames22062",250032543
"Ames 22063","W 6720-2","sweet corn","Ames22063:250033098",0.191722,"Ames22063",250033098
"Ames 22063","W 6720-2","sweet corn","Ames22063:250041475",0.226847,"Ames22063",250041475
"Ames 22064","W 6728","sweet corn","Ames22064:250032461",0.189619,"Ames22064",250032461
"Ames 22064","W 6728","sweet corn","Ames22064:250041412",0.193406,"Ames22064",250041412
"Ames 22065","W 6757","sweet corn","Ames22065:250041486",0.182947,"Ames22065",250041486
"Ames 22065","W 6757","sweet corn","Ames22065:250032411",0.180649,"Ames22065",250032411
"Ames 22066","W 6786","sweet corn","Ames22066:250034879",0.140239,"Ames22066",250034879
"Ames 22067","W 7151","sweet corn","Ames22067:250041447",0.339833,"Ames22067",250041447
"Ames 22067","W 7151","sweet corn","Ames22067:250032415",0.302448,"Ames22067",250032415
"Ames 22439","A73","other","Ames22439:250031884",0.178302,"Ames22439",250031884
"Ames 22439","A73","other","Ames22439:250041484",0.555043,"Ames22439",250041484
"Ames 22440","CI90C","other","Ames22440:250042577",0.230385,"Ames22440",250042577
"Ames 22440","CI90C","other","Ames22440:250031168",0.140666,"Ames22440",250031168
"Ames 22440","CI90C","other","Ames22440:250034959",0.231492,"Ames22440",250034959
"Ames 22440","CI90C","other","Ames22440:250042575",0.142724,"Ames22440",250042575
"Ames 22440","CI90C","other","Ames22440:250030998",0.143257,"Ames22440",250030998
"Ames 22440","CI90C","other","Ames22440:250042578",0.142491,"Ames22440",250042578
"Ames 22441","CH157","other","Ames22441:250032253",0.308628,"Ames22441",250032253
"Ames 22442","Ms100","other","Ames22442:250032551",0.207891,"Ames22442",250032551
"Ames 22747","CM48","other","Ames22747:250032296",0.212521,"Ames22747",250032296
"Ames 22748","H100","other","Ames22748:250031306",0.139592,"Ames22748",250031306
"Ames 22748","H100","other","Ames22748:250031667",0.144312,"Ames22748",250031667
"Ames 22748","H100","other","Ames22748:250033694",0.143464,"Ames22748",250033694
"Ames 22750","H112","other","Ames22750:250040788",0.121565,"Ames22750",250040788
"Ames 22750","H112","other","Ames22750:250033560",0.427737,"Ames22750",250033560
"Ames 22751","H114","other","Ames22751:250033739",0.114544,"Ames22751",250033739
"Ames 22752","H119","other","Ames22752:250033852",0.073588,"Ames22752",250033852
"Ames 22753","H123","other","Ames22753:250031531",0.0570223,"Ames22753",250031531
"Ames 22754","K55","other","Ames22754:250031565",0.145923,"Ames22754",250031565
"Ames 22756","Os426","other","Ames22756:250031925",0.291072,"Ames22756",250031925
"Ames 22757","Pa405","other","Ames22757:250033587",0.141107,"Ames22757",250033587
"Ames 22759","Tx29A","other","Ames22759:250042450",0.405796,"Ames22759",250042450
"Ames 22760","Tx71","other","Ames22760:250032200",0.318761,"Ames22760",250032200
"Ames 22762","Tx118","other","Ames22762:250031821",0.162971,"Ames22762",250031821
"Ames 22765","Tx738","other","Ames22765:250042431",0.179093,"Ames22765",250042431
"Ames 22766","Tx817w","other","Ames22766:250032079",0.259372,"Ames22766",250032079
"Ames 22767","W59E","other","Ames22767:250031911",0.199856,"Ames22767",250031911
"Ames 22792","ABPl 2","other","Ames22792:250034854",0.29164,"Ames22792",250034854
"Ames 22793","ABPl 4","other","Ames22793:250034872",0.228589,"Ames22793",250034872
"Ames 22794","ABPl 5","other","Ames22794:250034747",0.107382,"Ames22794",250034747
"Ames 2327","Lai 1029","other","Ames2327:250031291",0.134612,"Ames2327",250031291
"Ames 2328","North 7","other","Ames2328:250031527",0.23123,"Ames2328",250031527
"Ames 2329","SW 322","other","Ames2329:250031666",0.211707,"Ames2329",250031666
"Ames 2330","East 028","other","Ames2330:250033592",0.251092,"Ames2330",250033592
"Ames 2331","Yellow 3-4","other","Ames2331:250032832",0.380125,"Ames2331",250032832
"Ames 2332","Bei 10 = North 10","other","Ames2332:250031367",0.276322,"Ames2332",250031367
"Ames 2333","Yong 28","other","Ames2333:250031874",0.382325,"Ames2333",250031874
"Ames 2334","Yong 28 (br2)","other","Ames2334:250033543",0.32019,"Ames2334",250033543
"Ames 2335","Ye 4","other","Ames2335:250031923",0.0840135,"Ames2335",250031923
"Ames 2336","52220","other","Ames2336:250031533",0.247792,"Ames2336",250031533
"Ames 2337","Huanyao","other","Ames2337:250031554",0.0867015,"Ames2337",250031554
"Ames 2338","(Twan x Tzuh)-S6","other","Ames2338:250033662",0.276844,"Ames2338",250033662
"Ames 23389","A15","other","Ames23389:250031886",0.256479,"Ames23389",250031886
"Ames 2339","Huobai","other","Ames2339:250033815",0.208545,"Ames2339",250033815
"Ames 23391","A34","other","Ames23391:250034746",0.330051,"Ames23391",250034746
"Ames 23392","A90","other","Ames23392:250032393",0.21047,"Ames23392",250032393
"Ames 23393","A96","other","Ames23393:250034806",0.211938,"Ames23393",250034806
"Ames 23394","A116","other","Ames23394:250034877",0.205207,"Ames23394",250034877
"Ames 23395","A152","other","Ames23395:250034945",0.200554,"Ames23395",250034945
"Ames 23396","A155","other","Ames23396:250032391",0.216019,"Ames23396",250032391
"Ames 23397","A158","other","Ames23397:250034840",0.203296,"Ames23397",250034840
"Ames 23398","A166","other","Ames23398:250034722",0.225922,"Ames23398",250034722
"Ames 23399","A201","other","Ames23399:250033163",0.177853,"Ames23399",250033163
"Ames 2340","WFg 3-9","other","Ames2340:250034668",0.251345,"Ames2340",250034668
"Ames 23400","A203","other","Ames23400:250034570",0.165751,"Ames23400",250034570
"Ames 23401","A204","other","Ames23401:250032458",0.193893,"Ames23401",250032458
"Ames 23402","A208","other","Ames23402:250034979",0.181946,"Ames23402",250034979
"Ames 23403","A218","other","Ames23403:250032385",0.199576,"Ames23403",250032385
"Ames 23404","A223","other","Ames23404:250033716",0.158453,"Ames23404",250033716
"Ames 23405","A239","other","Ames23405:250032535",0.214026,"Ames23405",250032535
"Ames 23406","A251","other","Ames23406:250032412",0.188569,"Ames23406",250032412
"Ames 23407","A257","other","Ames23407:250032472",0.150481,"Ames23407",250032472
"Ames 23408","A260","other","Ames23408:250034827",0.227452,"Ames23408",250034827
"Ames 23409","A264","other","Ames23409:250034833",0.236912,"Ames23409",250034833
"Ames 2341","S330","other","Ames2341:250031415",0.174481,"Ames2341",250031415
"Ames 23410","A265","other","Ames23410:250034878",0.228885,"Ames23410",250034878
"Ames 23413","A286","other","Ames23413:250034591",0.159683,"Ames23413",250034591
"Ames 23414","A288","other","Ames23414:250032557",0.169883,"Ames23414",250032557
"Ames 23415","A295","other","Ames23415:250034736",0.173693,"Ames23415",250034736
"Ames 23417","A305","other","Ames23417:250032420",0.230373,"Ames23417",250032420
"Ames 23418","A308","other","Ames23418:250032507",0.291903,"Ames23418",250032507
"Ames 23419","A310","other","Ames23419:250034814",0.32783,"Ames23419",250034814
"Ames 23420","A312","other","Ames23420:250032541",0.279052,"Ames23420",250032541
"Ames 23421","A321","other","Ames23421:250032456",0.158586,"Ames23421",250032456
"Ames 23422","A322","other","Ames23422:250032410",0.301467,"Ames23422",250032410
"Ames 23423","A334","other","Ames23423:250032440",0.276696,"Ames23423",250032440
"Ames 23424","A340","other","Ames23424:250032464",0.211391,"Ames23424",250032464
"Ames 23425","A344","other","Ames23425:250034582",0.172048,"Ames23425",250034582
"Ames 23426","A357","other","Ames23426:250041403",0.320765,"Ames23426",250041403
"Ames 23426","A357","other","Ames23426:250032399",0.267206,"Ames23426",250032399
"Ames 23427","A374","other","Ames23427:250034842",0.164814,"Ames23427",250034842
"Ames 23428","A375","other","Ames23428:250041451",0.1615,"Ames23428",250041451
"Ames 23428","A375","other","Ames23428:250034823",0.165423,"Ames23428",250034823
"Ames 23429","A385","other","Ames23429:250034847",0.256593,"Ames23429",250034847
"Ames 23430","A401","other","Ames23430:250032597",0.254122,"Ames23430",250032597
"Ames 23431","A407","other","Ames23431:250032465",0.172669,"Ames23431",250032465
"Ames 23433","A422","other","Ames23433:250032537",0.259684,"Ames23433",250032537
"Ames 23434","A424","other","Ames23434:250032347",0.17057,"Ames23434",250032347
"Ames 23435","A427","other","Ames23435:250032453",0.366698,"Ames23435",250032453
"Ames 23436","A449","other","Ames23436:250035218",0.211512,"Ames23436",250035218
"Ames 23437","A450","other","Ames23437:250034832",0.21401,"Ames23437",250034832
"Ames 23438","A451","other","Ames23438:250032401",0.243733,"Ames23438",250032401
"Ames 23439","A480","other","Ames23439:250034586",0.204924,"Ames23439",250034586
"Ames 23440","A495","other","Ames23440:250033269",0.231596,"Ames23440",250033269
"Ames 23441","A497","other","Ames23441:250032508",0.2124,"Ames23441",250032508
"Ames 23442","A498","other","Ames23442:250034672",0.200604,"Ames23442",250034672
"Ames 23443","A499","other","Ames23443:250033336",0.198882,"Ames23443",250033336
"Ames 23444","A500","other","Ames23444:250032336",0.206361,"Ames23444",250032336
"Ames 23445","A502","other","Ames23445:250032348",0.218389,"Ames23445",250032348
"Ames 23446","A508","other","Ames23446:250032437",0.198598,"Ames23446",250032437
"Ames 23447","A509","other","Ames23447:250032575",0.201881,"Ames23447",250032575
"Ames 23448","A547","other","Ames23448:250032403",0.169668,"Ames23448",250032403
"Ames 23449","A548","other","Ames23449:250032536",0.186752,"Ames23449",250032536
"Ames 23450","A556","other","Ames23450:250033472",0.235329,"Ames23450",250033472
"Ames 23450","A556","other","Ames23450:250032521",0.236312,"Ames23450",250032521
"Ames 23451","A572","other","Ames23451:250034815",0.264211,"Ames23451",250034815
"Ames 23452","A575","other","Ames23452:250034559",0.194121,"Ames23452",250034559
"Ames 23455","A588","other","Ames23455:250032387",0.152105,"Ames23455",250032387
"Ames 23456","A617","other","Ames23456:250033425",0.211134,"Ames23456",250033425
"Ames 23457","A618","other","Ames23457:250032518",0.1916,"Ames23457",250032518
"Ames 23458","A619HT","other","Ames23458:250033051",0.104242,"Ames23458",250033051
"Ames 23459","A622","other","Ames23459:250033693",0.301494,"Ames23459",250033693
"Ames 23460","A624","other","Ames23460:250034730",0.217166,"Ames23460",250034730
"Ames 23461","A625","other","Ames23461:250032595",0.225091,"Ames23461",250032595
"Ames 23463","A627","other","Ames23463:250032436",0.177511,"Ames23463",250032436
"Ames 23464","A628","other","Ames23464:250032533",0.175857,"Ames23464",250032533
"Ames 23465","A629","other","Ames23465:250033080",0.106562,"Ames23465",250033080
"Ames 23466","A630","other","Ames23466:250032558",0.115241,"Ames23466",250032558
"Ames 23467","A631","other","Ames23467:250032581",0.119499,"Ames23467",250032581
"Ames 23468","A632HT","other","Ames23468:250032510",0.0872644,"Ames23468",250032510
"Ames 23469","A632HTN","other","Ames23469:250031880",0.0963416,"Ames23469",250031880
"Ames 23470","A632RpRp","other","Ames23470:250033601",0.0921803,"Ames23470",250033601
"Ames 23471","A633","other","Ames23471:250032473",0.0856999,"Ames23471",250032473
"Ames 23473","A635RpRp","other","Ames23473:250034738",0.091626,"Ames23473",250034738
"Ames 23474","A636","other","Ames23474:250032426",0.0932625,"Ames23474",250032426
"Ames 23475","A637","other","Ames23475:250032324",0.148322,"Ames23475",250032324
"Ames 23476","A638","other","Ames23476:250032381",0.117452,"Ames23476",250032381
"Ames 23477","A640","other","Ames23477:250034957",0.374019,"Ames23477",250034957
"Ames 23478","A643","other","Ames23478:250032592",0.220127,"Ames23478",250032592
"Ames 23479","A644","other","Ames23479:250032422",0.206844,"Ames23479",250032422
"Ames 23480","A645","other","Ames23480:250032452",0.139077,"Ames23480",250032452
"Ames 23481","A646","other","Ames23481:250034793",0.139334,"Ames23481",250034793
"Ames 23482","A649","other","Ames23482:250041448",0.183914,"Ames23482",250041448
"Ames 23482","A649","other","Ames23482:250032523",0.964136,"Ames23482",250032523
"Ames 23482","A649","other","Ames23482:250034623",0.168943,"Ames23482",250034623
"Ames 23483","A650","other","Ames23483:250032532",0.158908,"Ames23483",250032532
"Ames 23484","A651","other","Ames23484:250032571",0.263747,"Ames23484",250032571
"Ames 23485","A652","other","Ames23485:250032419",0.151943,"Ames23485",250032419
"Ames 23486","A653","other","Ames23486:250034692",0.150291,"Ames23486",250034692
"Ames 23487","A655","other","Ames23487:250041459",0.179239,"Ames23487",250041459
"Ames 23488","A656","other","Ames23488:250032572",0.144535,"Ames23488",250032572
"Ames 23490","A666","other","Ames23490:250032413",0.179284,"Ames23490",250032413
"Ames 23491","A667","other","Ames23491:250032554",0.205398,"Ames23491",250032554
"Ames 23492","A668","other","Ames23492:250034868",0.186939,"Ames23492",250034868
"Ames 23493","A669","other","Ames23493:250033720",0.133108,"Ames23493",250033720
"Ames 23494","A670","other","Ames23494:250034838",0.103279,"Ames23494",250034838
"Ames 23495","A671","other","Ames23495:250034605",0.231713,"Ames23495",250034605
"Ames 23496","A672","other","Ames23496:250034604",0.156234,"Ames23496",250034604
"Ames 23496","A672","other","Ames23496:250041437",0.155646,"Ames23496",250041437
"Ames 23497","A673","other","Ames23497:250032466",0.220221,"Ames23497",250032466
"Ames 23498","A674","other","Ames23498:250034867",0.325857,"Ames23498",250034867
"Ames 23499","A675","other","Ames23499:250034817",0.129275,"Ames23499",250034817
"Ames 23500","A676","other","Ames23500:250032457",0.176245,"Ames23500",250032457
"Ames 23501","A677","other","Ames23501:250032524",0.155853,"Ames23501",250032524
"Ames 23502","A678","other","Ames23502:250032598",0.209192,"Ames23502",250032598
"Ames 23503","A680","other","Ames23503:250033830",0.051835,"Ames23503",250033830
"Ames 23503","A680","other","Ames23503:250031669",0.0453228,"Ames23503",250031669
