"INDV","F_MISS","acc_v2.7","id_v2.7"
"5202-7:250007176",0.999958,"5202-7",250007176
"5202-8:250007175",0.999996,"5202-8",250007175
"52101:250007471",0.1965,"52101",250007471
"52107:250007472",0.999966,"52107",250007472
"52109:250007479",0.197107,"52109",250007479
"52110:250007474",0.999994,"52110",250007474
"52113:250007473",0.999996,"52113",250007473
"52114:250007475",0.196222,"52114",250007475
"52138:250007476",0.17159,"52138",250007476
"52142:250007477",0.999976,"52142",250007477
"5302-22:250007686",0.99998,"5302-22",250007686
"5461-22:250007151",0.130756,"5461-22",250007151
"5461-23:250007149",0.114293,"5461-23",250007149
"5501-16:250007207",0.189258,"5501-16",250007207
"6101-10:250007227",0.964846,"6101-10",250007227
"6101-13:250007228",0.0682428,"6101-13",250007228
"6101-14:250007229",0.0772649,"6101-14",250007229
"6101-15:250007231",0.0755775,"6101-15",250007231
"6101-16:250007236",0.066178,"6101-16",250007236
"6101-17:250007237",0.0706976,"6101-17",250007237
"6101-19:250007233",0.0817273,"6101-19",250007233
"6101-20:250007220",0.999981,"6101-20",250007220
"6101-23:250007235",0.0775448,"6101-23",250007235
"6101-5:250007232",0.388577,"6101-5",250007232
"6101-6:250007230",0.150404,"6101-6",250007230
"6101-7:250007221",0.999969,"6101-7",250007221
"6101-8:250007223",0.999982,"6101-8",250007223
"6101-9:250007343",0.999719,"6101-9",250007343
"6102-10:250007238",0.996886,"6102-10",250007238
"6102-11:250007310",0.107096,"6102-11",250007310
"6102-12:250007276",0.106068,"6102-12",250007276
"6102-13:250007337",0.142131,"6102-13",250007337
"6102-14:250007340",0.999882,"6102-14",250007340
"6102-16:250007333",0.130602,"6102-16",250007333
"6102-17:250007334",0.130063,"6102-17",250007334
"6102-18:250007336",0.161471,"6102-18",250007336
"6102-19:250007339",0.112689,"6102-19",250007339
"6102-20:250007331",0.126808,"6102-20",250007331
"6102-21:250007335",0.122704,"6102-21",250007335
"6102-22:250007342",0.163061,"6102-22",250007342
"6102-23:250007338",0.111194,"6102-23",250007338
"6102-24:250007330",0.134585,"6102-24",250007330
"6102-25:250007341",0.99988,"6102-25",250007341
"6102-26:250007277",0.095588,"6102-26",250007277
"6102-27:250007309",0.140363,"6102-27",250007309
"6102-28:250007270",0.100612,"6102-28",250007270
"6102-29:250007273",0.123215,"6102-29",250007273
"6102-30:250007311",0.103694,"6102-30",250007311
"6102-31:250007332",0.139763,"6102-31",250007332
"6102-5:250007271",0.10557,"6102-5",250007271
"6102-6:250007272",0.142576,"6102-6",250007272
"6102-7:250007275",0.104464,"6102-7",250007275
"6102-8:250007308",0.193301,"6102-8",250007308
"6102-9:250007274",0.451281,"6102-9",250007274
"6201-10:250007354",0.157982,"6201-10",250007354
"6201-11:250007345",0.999976,"6201-11",250007345
"6201-12:250007353",0.999863,"6201-12",250007353
"6201-13:250007352",0.999718,"6201-13",250007352
"6201-14:250007356",0.163435,"6201-14",250007356
"6201-15:250007348",0.16618,"6201-15",250007348
"6201-16:250007437",0.0875092,"6201-16",250007437
"6201-18:250007399",0.0957237,"6201-18",250007399
"6201-19:250007362",0.999882,"6201-19",250007362
"6201-20:250007364",0.088779,"6201-20",250007364
"6201-21:250007359",0.336087,"6201-21",250007359
"6201-22:250007400",0.103442,"6201-22",250007400
"6201-23:250007360",0.0832493,"6201-23",250007360
"6201-24:250007401",0.146141,"6201-24",250007401
"6201-25:250007217",0.999954,"6201-25",250007217
"6201-26:250007438",0.0883275,"6201-26",250007438
"6201-27:250007350",0.143913,"6201-27",250007350
"6201-28:250007358",0.158605,"6201-28",250007358
"6201-29:250007398",0.0873523,"6201-29",250007398
"6201-30:250007397",0.999953,"6201-30",250007397
"6201-31:250007361",0.0893408,"6201-31",250007361
"6201-32:250007403",0.0989173,"6201-32",250007403
"6201-5:250007344",0.999967,"6201-5",250007344
"6201-6:250007349",0.999965,"6201-6",250007349
"6201-8:250007351",0.184965,"6201-8",250007351
"6201-9:250007355",0.155317,"6201-9",250007355
"6202-12:250007234",0.060572,"6202-12",250007234
"6202-15:250007404",0.102973,"6202-15",250007404
"6202-19:250007225",0.0723119,"6202-19",250007225
"6220-5:250007185",0.0936017,"6220-5",250007185
"63-016:250007186",0.0727115,"63-016",250007186
"63-024:250007459",0.0719642,"63-024",250007459
"63-035:250007460",0.079671,"63-035",250007460
"63-076:250007483",0.118415,"63-076",250007483
"63-080:250007462",0.109124,"63-080",250007462
"63-145:250007478",0.999963,"63-145",250007478
"63-263:250007463",0.171533,"63-263",250007463
"6301-1:250007195",0.103512,"6301-1",250007195
"6301-10:250007298",0.11115,"6301-10",250007298
"6301-11:250007296",0.105414,"6301-11",250007296
"6301-12:250007281",0.122779,"6301-12",250007281
"6301-13:250007313",0.109417,"6301-13",250007313
"6301-14:250007314",0.258151,"6301-14",250007314
"6301-16:250007295",0.118748,"6301-16",250007295
"6301-17:250007286",0.109529,"6301-17",250007286
"6301-18:250007280",0.103662,"6301-18",250007280
"6301-19:250007300",0.122714,"6301-19",250007300
"6301-20:250007291",0.132014,"6301-20",250007291
"6301-21:250007312",0.118692,"6301-21",250007312
"6301-22:250007284",0.123341,"6301-22",250007284
"6301-23:250007405",0.104451,"6301-23",250007405
"6301-26:250007192",0.999951,"6301-26",250007192
"6301-27:250007203",0.117085,"6301-27",250007203
"6301-28:250007288",0.0980609,"6301-28",250007288
"6301-29:250007294",0.117912,"6301-29",250007294
"6301-5:250007292",0.120997,"6301-5",250007292
"6301-6:250007282",0.109706,"6301-6",250007282
"6301-7:250007283",0.120201,"6301-7",250007283
"6301-8:250007297",0.096719,"6301-8",250007297
"6301-9:250007278",0.11633,"6301-9",250007278
"6302-12:250007347",0.999987,"6302-12",250007347
"6302-13:250007357",0.180462,"6302-13",250007357
"6302-21:250007435",0.107836,"6302-21",250007435
"6302-28:250007363",0.999914,"6302-28",250007363
"6302-29:250007436",0.148635,"6302-29",250007436
"6302-31:250007365",0.998196,"6302-31",250007365
"6302-33:250007402",0.0962791,"6302-33",250007402
"6302-6:250007346",0.999995,"6302-6",250007346
"6401-10:250007327",0.99995,"6401-10",250007327
"6401-11:250007320",0.143334,"6401-11",250007320
"6401-12:250007303",0.118208,"6401-12",250007303
"6401-14:250007317",0.143319,"6401-14",250007317
"6401-15:250007321",0.142506,"6401-15",250007321
"6401-16:250007319",0.145243,"6401-16",250007319
"6401-5:250007324",0.132287,"6401-5",250007324
"6401-6:250007325",0.999989,"6401-6",250007325
"6401-8:250007302",0.999996,"6401-8",250007302
"6401-9:250007322",0.124225,"6401-9",250007322
"6402-11:250007315",0.130511,"6402-11",250007315
"6402-12:250007279",0.118333,"6402-12",250007279
"6402-16:250007287",0.101845,"6402-16",250007287
"6402-17:250007285",0.111959,"6402-17",250007285
"6402-18:250007299",0.111804,"6402-18",250007299
"6402-21:250007289",0.10131,"6402-21",250007289
"6402-24:250007290",0.0907939,"6402-24",250007290
"6402-25:250007218",0.999932,"6402-25",250007218
"6501-12:250007316",0.132458,"6501-12",250007316
"6501-16:250007326",0.130914,"6501-16",250007326
"6501-17:250007328",0.133436,"6501-17",250007328
"6501-19:250007304",0.999988,"6501-19",250007304
"6501-20:250007318",0.587972,"6501-20",250007318
"6501-22:250007306",0.999985,"6501-22",250007306
"6501-7:250007323",0.124475,"6501-7",250007323
"7111-12:250007222",0.999982,"7111-12",250007222
"7111-13:250007219",0.999994,"7111-13",250007219
"7111-14:250007226",0.0600887,"7111-14",250007226
"73-194:250007293",0.128954,"73-194",250007293
"73118:250007656",0.0625849,"73118",250007656
"75-030:250007465",0.270406,"75-030",250007465
"75-062:250007692",0.0819965,"75-062",250007692
"7501-10:250007301",0.999986,"7501-10",250007301
"7501-12:250007307",0.999978,"7501-12",250007307
"7501-9:250007305",0.125911,"7501-9",250007305
"8101-10:250007424",0.148495,"8101-10",250007424
"8101-11:250007425",0.999946,"8101-11",250007425
"8101-12:250007426",0.999982,"8101-12",250007426
"8101-13:250007427",0.151828,"8101-13",250007427
"8101-14:250007443",0.999926,"8101-14",250007443
"8101-15:250007428",0.146736,"8101-15",250007428
"8101-16:250007444",0.161758,"8101-16",250007444
"8101-5:250007419",0.14246,"8101-5",250007419
"8101-6:250007420",0.110777,"8101-6",250007420
"8101-7:250007421",0.140677,"8101-7",250007421
"8101-8:250007422",0.140333,"8101-8",250007422
"8101-9:250007423",0.136874,"8101-9",250007423
"85-002:250007224",0.999958,"85-002",250007224
"85-006:250007461",0.0755203,"85-006",250007461
"8561-29:250007429",0.260707,"8561-29",250007429
"8571-11:250007431",0.999979,"8571-11",250007431
"8571-14:250007433",0.131593,"8571-14",250007433
"8571-15:250007434",0.127112,"8571-15",250007434
"8571-18:250007449",0.168192,"8571-18",250007449
"8571-20:250007451",0.166903,"8571-20",250007451
"8571-230:250007455",0.167606,"8571-230",250007455
"8571-26:250007457",0.116336,"8571-26",250007457
"8571-27:250007458",0.122485,"8571-27",250007458
"8571-31:250007448",0.16556,"8571-31",250007448
"8571-32:250007447",0.145136,"8571-32",250007447
"86368:250007464",0.206813,"86368",250007464
"93-183:250007143",0.102133,"93-183",250007143
"93-187:250007158",0.0990455,"93-187",250007158
"A131:250034585",0.25654,"A131",250034585
"A131(Holland):250041473",0.361849,"A131(Holland)",250041473
"A188:250040019",0.228377,"A188",250040019
"A214N:250040084",0.156726,"A214N",250040084
"A239:250039755",0.222677,"A239",250039755
"A239:250047930",0.220108,"A239",250047930
"A272:250039779",0.475318,"A272",250039779
"A272:250047954",0.363724,"A272",250047954
"A3G-3-1-3:250032310",0.353759,"A3G-3-1-3",250032310
"A441-5:250040026",0.303803,"A441-5",250040026
"A554:250039788",0.20062,"A554",250039788
"A554:250047963",0.202593,"A554",250047963
"A556:250040185",0.235335,"A556",250040185
"A6:250040034",0.205997,"A6",250040034
"A619:250039765",0.10376,"A619",250039765
"A619:250047940",0.103175,"A619",250047940
"A632:250039775",0.0922651,"A632",250039775
"A632:250047950",0.0903615,"A632",250047950
"A634:250040129",0.108904,"A634",250040129
"A635:250040198",0.0923192,"A635",250040198
"A641:250040046",0.206553,"A641",250040046
"A641Ht:250007145",0.205868,"A641Ht",250007145
"A654:250039834",0.138997,"A654",250039834
"A654:250048009",0.138191,"A654",250048009
"A659:250039829",0.214073,"A659",250039829
"A659:250048004",0.214416,"A659",250048004
"A661:250040149",0.203595,"A661",250040149
"A679:250040001",0.0806917,"A679",250040001
"A680:250039756",0.0480595,"A680",250039756
"A680:250047931",0.0457478,"A680",250047931
"A682:250039782",0.144129,"A682",250039782
"A682:250047957",0.115809,"A682",250047957
"Ab18:250035064",0.247257,"Ab18",250035064
"Ab24E:250034924",0.211879,"Ab24E",250034924
"Ab26A:250031182",0.240912,"Ab26A",250031182
"Ab28A:250040159",0.22653,"Ab28A",250040159
"Ab608A:250034936",0.278992,"Ab608A",250034936
"Ab610:250035202",0.238442,"Ab610",250035202
"Ab616:250034978",0.234909,"Ab616",250034978
"AH83:250032332",0.135412,"AH83",250032332
"Ames_30480:250032905",0.239524,"Ames_30480",250032905
"Ames10244:250032849",0.263762,"Ames10244",250032849
"Ames10246:250041697",0.353998,"Ames10246",250041697
"Ames10247:250033161",0.215398,"Ames10247",250033161
"Ames10248:250031797",0.271089,"Ames10248",250031797
"Ames10249:250033148",0.259815,"Ames10249",250033148
"Ames10250:250033048",0.241462,"Ames10250",250033048
"Ames10251:250033046",0.303905,"Ames10251",250033046
"Ames10252:250033235",0.24278,"Ames10252",250033235
"Ames10253:250031774",0.212059,"Ames10253",250031774
"Ames10254:250033198",0.219847,"Ames10254",250033198
"Ames10255:250033271",0.217631,"Ames10255",250033271
"Ames10256:250033096",0.286512,"Ames10256",250033096
"Ames10256:250042417",0.452997,"Ames10256",250042417
"Ames10257:250033171",0.364166,"Ames10257",250033171
"Ames10258:250033159",0.293373,"Ames10258",250033159
"Ames10259:250033213",0.280599,"Ames10259",250033213
"Ames10260:250031197",0.237654,"Ames10260",250031197
"Ames10261:250033107",0.222343,"Ames10261",250033107
"Ames10262:250033038",0.297521,"Ames10262",250033038
"Ames10263:250031024",0.308779,"Ames10263",250031024
"Ames10264:250031258",0.363496,"Ames10264",250031258
"Ames10265:250035124",0.323681,"Ames10265",250035124
"Ames10266:250042451",0.376173,"Ames10266",250042451
"Ames10267:250031659",0.229375,"Ames10267",250031659
"Ames10268:250042490",0.312216,"Ames10268",250042490
"Ames10269:250033220",0.277178,"Ames10269",250033220
"Ames10271:250031710",0.209206,"Ames10271",250031710
"Ames10272:250033211",0.271388,"Ames10272",250033211
"Ames10273:250031771",0.257537,"Ames10273",250031771
"Ames10274:250033192",0.394383,"Ames10274",250033192
"Ames10274:250042502",0.436845,"Ames10274",250042502
"Ames10276:250033172",0.322438,"Ames10276",250033172
"Ames10277:250033095",0.328719,"Ames10277",250033095
"Ames10287:250032568",0.299359,"Ames10287",250032568
"Ames12725:250034925",0.284724,"Ames12725",250034925
"Ames12726:250032944",0.298378,"Ames12726",250032944
"Ames12727:250035100",0.315256,"Ames12727",250035100
"Ames12728:250032927",0.226429,"Ames12728",250032927
"Ames12729:250033110",0.205982,"Ames12729",250033110
"Ames12729:250033153",0.20786,"Ames12729",250033153
"Ames12730:250033034",0.294813,"Ames12730",250033034
"Ames12731:250032800",0.198831,"Ames12731",250032800
"Ames12732:250032896",0.275962,"Ames12732",250032896
"Ames12732:250032907",0.275209,"Ames12732",250032907
"Ames12733:250032773",0.336795,"Ames12733",250032773
"Ames12734:250032780",0.3073,"Ames12734",250032780
"Ames12734:250032850",0.276942,"Ames12734",250032850
"Ames12735:250033219",0.198745,"Ames12735",250033219
"Ames12736:250031951",0.23731,"Ames12736",250031951
"Ames12737:250032770",0.241368,"Ames12737",250032770
"Ames12738:250032926",0.204332,"Ames12738",250032926
"Ames12739:250033075",0.256367,"Ames12739",250033075
"Ames12740:250033043",0.2231,"Ames12740",250033043
"Ames12814:250031891",0.232105,"Ames12814",250031891
"Ames12815:250031896",0.0563323,"Ames12815",250031896
"Ames12816:250041743",0.290741,"Ames12816",250041743
"Ames12817:250031903",0.244747,"Ames12817",250031903
"Ames12817:250041694",0.266763,"Ames12817",250041694
"Ames12818:250033615",0.0668013,"Ames12818",250033615
"Ames12818:250041678",0.0653375,"Ames12818",250041678
"Ames12819:250031873",0.240938,"Ames12819",250031873
"Ames12820:250033583",0.199565,"Ames12820",250033583
"Ames12821:250031934",0.294845,"Ames12821",250031934
"Ames12822:250033599",0.185134,"Ames12822",250033599
"Ames12823:250033553",0.202201,"Ames12823",250033553
"Ames12824:250031960",0.0959219,"Ames12824",250031960
"Ames14111:250033032",0.222508,"Ames14111",250033032
"Ames14111:250041653",0.227018,"Ames14111",250041653
"Ames14112:250031426",0.261089,"Ames14112",250031426
"Ames14113:250032833",0.183398,"Ames14113",250032833
"Ames14113:250042374",0.184945,"Ames14113",250042374
"Ames14114:250032791",0.173179,"Ames14114",250032791
"Ames14115:250034754",0.136653,"Ames14115",250034754
"Ames14116:250033794",0.149207,"Ames14116",250033794
"Ames14211:250031517",0.226672,"Ames14211",250031517
"Ames14408:250031965",0.14032,"Ames14408",250031965
"Ames15929:250033855",0.150101,"Ames15929",250033855
"Ames18999:250032813",0.228086,"Ames18999",250032813
"Ames18999:250032902",0.230239,"Ames18999",250032902
"Ames19000:250031259",0.264866,"Ames19000",250031259
"Ames19000:250031373",0.291955,"Ames19000",250031373
"Ames19000:250041598",0.286909,"Ames19000",250041598
"Ames19000:250042561",0.280429,"Ames19000",250042561
"Ames19001:250034888",0.183752,"Ames19001",250034888
"Ames19002:250033017",0.1359,"Ames19002",250033017
"Ames19002:250033342",0.136333,"Ames19002",250033342
"Ames19003:250033145",0.192006,"Ames19003",250033145
"Ames19004:250033179",0.41547,"Ames19004",250033179
"Ames19005:250032014",0.215896,"Ames19005",250032014
"Ames19006:250031408",0.154733,"Ames19006",250031408
"Ames19007:250031290",0.157434,"Ames19007",250031290
"Ames19008:250031330",0.154495,"Ames19008",250031330
"Ames19008:250041562",0.149542,"Ames19008",250041562
"Ames19009:250033582",0.131086,"Ames19009",250033582
"Ames19010:250034541",0.22921,"Ames19010",250034541
"Ames19011:250031433",0.237305,"Ames19011",250031433
"Ames19012:250033821",0.152335,"Ames19012",250033821
"Ames19013:250033793",0.160902,"Ames19013",250033793
"Ames19014:250033702",0.116789,"Ames19014",250033702
"Ames19015:250031558",0.163892,"Ames19015",250031558
"Ames19016:250031305",0.1537,"Ames19016",250031305
"Ames19016:250031379",0.154132,"Ames19016",250031379
"Ames19016:250041550",0.152433,"Ames19016",250041550
"Ames19017:250033742",0.209362,"Ames19017",250033742
"Ames19019:250033836",0.148041,"Ames19019",250033836
"Ames19282:250041419",0.0926806,"Ames19282",250041419
"Ames19282:250041467",0.0813743,"Ames19282",250041467
"Ames19283:250031118",0.0907409,"Ames19283",250031118
"Ames19284:250032795",0.111128,"Ames19284",250032795
"Ames19284:250032965",0.152034,"Ames19284",250032965
"Ames19285:250032911",0.112175,"Ames19285",250032911
"Ames19286:250034674",0.0589238,"Ames19286",250034674
"Ames19287:250031541",0.103028,"Ames19287",250031541
"Ames19288:250032389",0.0921432,"Ames19288",250032389
"Ames19288:250041695",0.092599,"Ames19288",250041695
"Ames19288:250041724",0.0913981,"Ames19288",250041724
"Ames19289:250033585",0.0985293,"Ames19289",250033585
"Ames19290:250033595",0.0992024,"Ames19290",250033595
"Ames19292:250032382",0.0995925,"Ames19292",250032382
"Ames19293:250031532",0.099956,"Ames19293",250031532
"Ames19294:250033735",0.102822,"Ames19294",250033735
"Ames19308:250033343",0.110923,"Ames19308",250033343
"Ames19309:250031394",0.0875262,"Ames19309",250031394
"Ames19309:250031417",0.0886444,"Ames19309",250031417
"Ames19310:250032515",0.146048,"Ames19310",250032515
"Ames19311:250032517",0.305075,"Ames19311",250032517
"Ames19311:250034824",0.208122,"Ames19311",250034824
"Ames19311:250040840",0.135304,"Ames19311",250040840
"Ames19313:250033580",0.168293,"Ames19313",250033580
"Ames19313:250033682",0.16514,"Ames19313",250033682
"Ames19314:250034995",0.146934,"Ames19314",250034995
"Ames19316:250032221",0.0944433,"Ames19316",250032221
"Ames19318:250031436",0.139029,"Ames19318",250031436
"Ames19319:250031680",0.152696,"Ames19319",250031680
"Ames19319:250033727",0.152338,"Ames19319",250033727
"Ames19321:250031444",0.154544,"Ames19321",250031444
"Ames19323:250032910",0.102324,"Ames19323",250032910
"Ames19324:250031199",0.204774,"Ames19324",250031199
"Ames19326:250033412",0.14893,"Ames19326",250033412
"Ames19326:250033609",0.150286,"Ames19326",250033609
"Ames19327:250033180",0.14112,"Ames19327",250033180
"Ames19327:250041454",0.177008,"Ames19327",250041454
"Ames19327:250042351",0.125327,"Ames19327",250042351
"Ames19328:250031547",0.160626,"Ames19328",250031547
"Ames19328:250033806",0.166921,"Ames19328",250033806
"Ames19330:250034745",0.135665,"Ames19330",250034745
"Ames20116:250032204",0.313057,"Ames20116",250032204
"Ames20118:250033181",0.243583,"Ames20118",250033181
"Ames20119:250034946",0.107531,"Ames20119",250034946
"Ames20120:250031157",0.107745,"Ames20120",250031157
"Ames20136:250030992",0.411996,"Ames20136",250030992
"Ames20137:250030999",0.25017,"Ames20137",250030999
"Ames20137:250041733",0.323681,"Ames20137",250041733
"Ames20140:250032343",0.288603,"Ames20140",250032343
"Ames20140:250035233",0.311428,"Ames20140",250035233
"Ames20140:250041397",0.298144,"Ames20140",250041397
"Ames20190:250032163",0.243524,"Ames20190",250032163
"Ames20190:250035252",0.237087,"Ames20190",250035252
"Ames20190:250042557",0.243286,"Ames20190",250042557
"Ames20190:250042558",0.238765,"Ames20190",250042558
"Ames20191:250035200",0.226267,"Ames20191",250035200
"Ames20191:250040803",0.152538,"Ames20191",250040803
"Ames21095:250031537",0.311561,"Ames21095",250031537
"Ames21096:250032520",0.267167,"Ames21096",250032520
"Ames21512:250035113",0.215598,"Ames21512",250035113
"Ames22011:250035077",0.305202,"Ames22011",250035077
"Ames22012:250031078",0.232515,"Ames22012",250031078
"Ames22013:250035074",0.345909,"Ames22013",250035074
"Ames22014:250031051",0.221149,"Ames22014",250031051
"Ames22015:250031376",0.301742,"Ames22015",250031376
"Ames22015:250041457",0.330306,"Ames22015",250041457
"Ames22016:250031944",0.356564,"Ames22016",250031944
"Ames22017:250031897",0.33771,"Ames22017",250031897
"Ames22018:250033590",0.261451,"Ames22018",250033590
"Ames22019:250033490",0.259114,"Ames22019",250033490
"Ames22020:250033597",0.15802,"Ames22020",250033597
"Ames22021:250033477",0.14655,"Ames22021",250033477
"Ames22022:250031963",0.258191,"Ames22022",250031963
"Ames22023:250031947",0.33729,"Ames22023",250031947
"Ames22024:250033465",0.16996,"Ames22024",250033465
"Ames22025:250033800",0.354615,"Ames22025",250033800
"Ames22026:250031186",0.254304,"Ames22026",250031186
"Ames22027:250031027",0.12924,"Ames22027",250031027
"Ames22028:250031388",0.191565,"Ames22028",250031388
"Ames22029:250031503",0.205938,"Ames22029",250031503
"Ames22030:250033617",0.199222,"Ames22030",250033617
"Ames22031:250033685",0.215711,"Ames22031",250033685
"Ames22032:250031316",0.140223,"Ames22032",250031316
"Ames22033:250031827",0.191895,"Ames22033",250031827
"Ames22034:250034880",0.311074,"Ames22034",250034880
"Ames22035:250032280",0.209826,"Ames22035",250032280
"Ames22036:250034583",0.178613,"Ames22036",250034583
"Ames22037:250032444",0.392962,"Ames22037",250032444
"Ames22038:250032449",0.369749,"Ames22038",250032449
"Ames22039:250032511",0.392547,"Ames22039",250032511
"Ames22040:250033559",0.375866,"Ames22040",250033559
"Ames22041:250034721",0.249178,"Ames22041",250034721
"Ames22042:250034851",0.19461,"Ames22042",250034851
"Ames22043:250032578",0.315514,"Ames22043",250032578
"Ames22044:250031419",0.263018,"Ames22044",250031419
"Ames22045:250031627",0.352166,"Ames22045",250031627
"Ames22046:250031378",0.268896,"Ames22046",250031378
"Ames22047:250033737",0.213274,"Ames22047",250033737
"Ames22048:250034795",0.157497,"Ames22048",250034795
"Ames22049:250031435",0.23971,"Ames22049",250031435
"Ames22050:250031703",0.203309,"Ames22050",250031703
"Ames22051:250033093",0.188165,"Ames22051",250033093
"Ames22052:250032312",0.247132,"Ames22052",250032312
"Ames22053:250034856",0.307492,"Ames22053",250034856
"Ames22054:250034592",0.277793,"Ames22054",250034592
"Ames22055:250034561",0.199387,"Ames22055",250034561
"Ames22056:250033070",0.181208,"Ames22056",250033070
"Ames22057:250033832",0.216953,"Ames22057",250033832
"Ames22058:250034805",0.218113,"Ames22058",250034805
"Ames22058:250041438",0.219182,"Ames22058",250041438
"Ames22059:250032556",0.247018,"Ames22059",250032556
"Ames22059:250041487",0.298894,"Ames22059",250041487
"Ames22060:250034542",0.21652,"Ames22060",250034542
"Ames22060:250041439",0.215296,"Ames22060",250041439
"Ames22061:250034883",0.238702,"Ames22061",250034883
"Ames22062:250032543",0.182307,"Ames22062",250032543
"Ames22062:250041414",0.198861,"Ames22062",250041414
"Ames22063:250033098",0.191722,"Ames22063",250033098
"Ames22063:250041475",0.226847,"Ames22063",250041475
"Ames22064:250032461",0.189619,"Ames22064",250032461
"Ames22064:250041412",0.193406,"Ames22064",250041412
"Ames22065:250032411",0.180649,"Ames22065",250032411
"Ames22065:250041486",0.182947,"Ames22065",250041486
"Ames22066:250034879",0.140239,"Ames22066",250034879
"Ames22067:250032415",0.302448,"Ames22067",250032415
"Ames22067:250041447",0.339833,"Ames22067",250041447
"Ames22439:250031884",0.178302,"Ames22439",250031884
"Ames22439:250041484",0.555043,"Ames22439",250041484
"Ames22440:250030998",0.143257,"Ames22440",250030998
"Ames22440:250031168",0.140666,"Ames22440",250031168
"Ames22440:250034959",0.231492,"Ames22440",250034959
"Ames22440:250042575",0.142724,"Ames22440",250042575
"Ames22440:250042577",0.230385,"Ames22440",250042577
"Ames22440:250042578",0.142491,"Ames22440",250042578
"Ames22441:250032253",0.308628,"Ames22441",250032253
"Ames22442:250032551",0.207891,"Ames22442",250032551
"Ames22443:250032398",0.22641,"Ames22443",250032398
"Ames22443:250032601",0.228849,"Ames22443",250032601
"Ames22443:250035174",0.230158,"Ames22443",250035174
"Ames22443:250041404",0.228833,"Ames22443",250041404
"Ames22443:250041426",0.229276,"Ames22443",250041426
"Ames22443:250041462",0.228955,"Ames22443",250041462
"Ames22747:250032296",0.212521,"Ames22747",250032296
"Ames22748:250031306",0.139592,"Ames22748",250031306
"Ames22748:250031667",0.144312,"Ames22748",250031667
"Ames22748:250033694",0.143464,"Ames22748",250033694
"Ames22749:250033672",0.136669,"Ames22749",250033672
"Ames22750:250033560",0.427737,"Ames22750",250033560
"Ames22750:250040788",0.121565,"Ames22750",250040788
"Ames22751:250033739",0.114544,"Ames22751",250033739
"Ames22752:250033852",0.073588,"Ames22752",250033852
"Ames22753:250031531",0.0570223,"Ames22753",250031531
"Ames22754:250031565",0.145923,"Ames22754",250031565
"Ames22755:250034615",0.108164,"Ames22755",250034615
"Ames22756:250031925",0.291072,"Ames22756",250031925
"Ames22757:250033587",0.141107,"Ames22757",250033587
