Year,Tier,Range,Pass,Gen,plate,Grp,Switch,New_Block_Pass,New_Block_Range,GRIN.pedigree,Source
2015,2,27,6,202,14,New_Lines,1,1,3,80-2,PI 369437
2015,2,22,12,58,13,New_Lines,1,2,1,F10,PI 257508
2015,2,27,19,214,29,New_Lines,1,3,3,Ia CG4189,Ames 22025
2015,2,21,26,41,24,New_Lines,1,4,1,ND33,NSL 32720
2015,3,30,43,1473,18,New_Lines,1,1,10,Il779a,Ames 27447
2015,2,22,14,60,26,New_Lines,1,2,1,CM145,Ames 27032
2015,2,27,20,215,24,New_Lines,1,3,3,Ia 2003,Ames 22028
2015,2,30,28,312,16,New_Lines,1,4,4,W 3647,Ames 22053
2015,3,21,55,1210,29,New_Lines,1,3,7,K41,NSL 22635
2015,2,36,4,470,5,New_Lines,1,1,6,4F-300 AD 3,PI 198896
2015,2,20,20,12,14,New_Lines,1,3,1,W 7151,Ames 22067
2015,2,26,22,187,25,New_Lines,1,3,3,ND203,NSL 32732
2015,3,4,65,704,26,New_Lines,1,4,1,89291,PI 550909
2015,3,32,63,1552,29,New_Lines,1,4,11,H103,PI 550497
2015,2,20,19,11,10,New_Lines,1,3,1,W 5543,Ames 22056
2015,3,7,55,785,12,New_Lines,1,3,2,Oh43 (su),Ames 26765
2015,2,40,6,591,15,New_Lines,1,1,7,NY 3 (Neveh Yaar),PI 200179
2015,3,5,42,713,4,New_Lines,1,1,2,A619,PI 587139
2015,3,6,59,760,6,New_Lines,1,3,2,Il731a,Ames 27444
2015,3,17,43,1079,14,New_Lines,1,1,6,Mo307ae,NSL 67792
2015,2,26,29,193,24,New_Lines,1,4,3,277,PI 233315
2015,3,23,49,1267,6,New_Lines,1,2,8,CML 220,Ames 27087
2015,3,16,54,1059,12,New_Lines,1,3,5,6M502,PI 601561
2015,2,29,30,284,24,New_Lines,1,4,4,W703,NSL 30056
2015,3,36,44,1656,29,New_Lines,1,1,12,Va23,Ames 19007
2015,2,28,9,235,14,New_Lines,1,2,3,A651,Ames 23484
2015,3,10,64,886,26,New_Lines,1,4,3,Il767b,Ames 27445
2015,2,32,9,355,25,New_Lines,1,2,5,P51B,NSL 8582
2015,2,35,6,442,17,New_Lines,1,1,6,P737M20,PI 644102
2015,2,24,32,136,27,New_Lines,1,4,2,Me 244 Wb,Ames 22043
2015,3,27,67,1405,3,New_Lines,1,4,9,AusTRCF 305801,NSL 437877
2015,3,10,58,880,18,New_Lines,1,3,3,21-396-68(B),PI 358535
2015,2,22,27,73,10,New_Lines,1,4,1,ND261,PI 510674
2015,2,21,4,19,26,New_Lines,1,1,1,S8,Ames 23509
2015,3,11,43,897,14,New_Lines,1,1,4,OQ403,PI 559920
2015,2,31,31,345,17,New_Lines,1,4,4,W 6720-2,Ames 22063
2015,3,29,45,1445,26,New_Lines,1,2,10,AusTRCF 306345,NSL 438031
2015,3,24,45,1293,26,New_Lines,1,2,8,WXK44,Ames 26750
2015,2,35,13,448,15,New_Lines,1,2,6,W 6757,Ames 22065
2015,2,36,23,489,13,New_Lines,1,3,6,MR02 (Assiniboine),Ames 30523
2015,3,32,67,1556,12,New_Lines,1,4,11,WXK41,Ames 26749
2015,3,3,66,675,4,New_Lines,1,4,1,883,PI 233320
2015,3,28,57,1426,13,New_Lines,1,3,9,M6415,PI 506412
2015,3,5,67,737,19,New_Lines,1,4,2,Os426,Ames 22756
2015,3,5,47,718,7,New_Lines,1,2,2,B92,PI 539870
2015,2,27,32,226,26,New_Lines,1,4,3,3IBZ2,PI 554616
2015,3,31,66,1524,18,New_Lines,1,4,10,T232,PI 550522
2015,2,22,20,66,4,New_Lines,1,3,1,G15 T134a,PI 340825
2015,3,35,48,1629,19,New_Lines,1,2,12,Mo301ae,NSL 67786
2015,3,8,40,802,16,New_Lines,1,1,3,R839,NSL 42806
2015,2,32,10,356,19,New_Lines,1,2,5,P39A,NSL 8583
2015,3,2,50,637,25,New_Lines,1,2,1,A265,Ames 23410
2015,2,35,3,439,25,New_Lines,1,1,6,A619Ht1,Ames 25219
2015,2,25,30,164,27,New_Lines,1,4,2,MS91,Ames 24723
2015,3,16,58,1062,14,New_Lines,1,3,5,NC288,Ames 28425
2015,2,24,31,135,3,New_Lines,1,4,2,M 45,Ames 22035
2015,2,23,12,87,25,New_Lines,1,2,2,ND254,PI 550542
2015,2,38,31,555,27,New_Lines,1,4,7,A257,Ames 23407
2015,3,7,44,774,14,New_Lines,1,1,2,Oh422,NSL 68211
2015,3,16,48,1053,6,New_Lines,1,2,5,779,PI 601376
2015,3,22,65,1251,26,New_Lines,1,4,7,Va39,Ames 19012
2015,3,26,55,1363,3,New_Lines,1,3,9,PHPR5,PI 559945
2015,3,23,60,1276,14,New_Lines,1,3,8,Mo39,Ames 28937
2015,2,28,31,255,17,New_Lines,1,4,3,W 5579,Ames 22058
2015,2,23,24,99,3,New_Lines,1,3,2,4659 INBRED,PI 415090
2015,3,2,60,643,3,New_Lines,1,3,1,A670,Ames 23494
2015,2,34,9,415,3,New_Lines,1,2,5,C7e,Ames 22013
2015,3,11,64,916,18,New_Lines,1,4,4,B90,PI 527699
2015,2,37,31,525,27,New_Lines,1,4,6,ND249,PI 550530
2015,2,33,26,400,10,New_Lines,1,4,5,OC17,PI 596504
2015,3,9,59,851,16,New_Lines,1,3,3,H19,Ames 26775
2015,2,24,23,128,24,New_Lines,1,3,2,A661,PI 607521
2015,2,28,23,247,6,New_Lines,1,3,3,Me 100,Ames 22038
2015,3,35,47,1628,18,New_Lines,1,2,12,A171,NSL 42878
2015,3,8,58,819,27,New_Lines,1,3,3,PHG83,PI 601229
2015,3,11,41,895,17,New_Lines,1,1,4,LIBC 4,PI 555650
2015,2,26,2,168,10,New_Lines,1,1,3,G15 T134,PI 340824
2015,2,31,17,332,24,New_Lines,1,3,4,A619HT,Ames 23458
2015,2,27,3,199,4,New_Lines,1,1,3,C13,PI 587126
2015,2,39,21,576,25,New_Lines,1,3,7,NC364,Ames 27178
2015,3,37,51,1692,19,New_Lines,1,2,12,E680-2-1-3(S5) INBRED,PI 221788
2015,2,29,32,286,6,New_Lines,1,4,4,W37A,NSL 30073
2015,3,15,43,1017,7,New_Lines,1,1,5,OC14,PI 596501
2015,2,32,17,362,4,New_Lines,1,3,5,A71,NSL 42875
2015,3,35,60,1641,16,New_Lines,1,3,12,PHG39,PI 600981
2015,3,33,51,1571,26,New_Lines,1,2,11,NC302,Ames 27147
2015,2,21,16,31,4,New_Lines,1,2,1,Me 123,Ames 22040
2015,3,26,60,1367,25,New_Lines,1,3,9,A644,Ames 23479
2015,2,32,3,349,5,New_Lines,1,1,5,CM155,Ames 27034
2015,3,39,43,1746,24,New_Lines,1,1,13,Va46,Ames 19013
2015,3,7,47,777,26,New_Lines,1,2,2,MS200,Ames 24737
2015,2,35,4,440,12,New_Lines,1,1,6,A619Ht2,Ames 25220
2015,3,23,61,1277,6,New_Lines,1,4,8,Va24,Ames 19008
2015,2,40,15,600,14,New_Lines,1,2,7,CHI-41,PI 391660
2015,2,21,21,36,4,New_Lines,1,3,1,CM48,Ames 22747
2015,2,29,26,280,6,New_Lines,1,4,4,4655 INBRED,PI 415089
2015,2,25,28,162,27,New_Lines,1,4,2,42,PI 233312
2015,3,22,38,1225,24,New_Lines,1,1,7,AusTRCF 305841,NSL 437915
2015,3,27,55,1394,19,New_Lines,1,3,9,Va35C,Ames 14115
2015,2,38,26,550,29,New_Lines,1,4,7,CI 40A,CIze 40
2015,3,31,47,1505,25,New_Lines,1,2,10,CI 92,Ames 28953
2015,2,35,29,463,13,New_Lines,1,4,6,A618,Ames 23457
2015,2,24,16,121,3,New_Lines,1,2,2,IA2132,PI 587134
2015,3,26,66,1373,25,New_Lines,1,4,9,WXI198,Ames 26747
2015,3,20,61,1185,7,New_Lines,1,4,7,CI 91C,Ames 26137
2015,3,3,39,648,25,New_Lines,1,1,1,OQ603,PI 601584
2015,2,24,27,131,26,New_Lines,1,4,2,MS12,Ames 24706
2015,2,22,9,55,6,New_Lines,1,2,1,Inbred 6-907,PI 236997
2015,2,34,28,432,26,New_Lines,1,4,5,A617,Ames 23456
2015,3,5,45,716,17,New_Lines,1,2,2,SD43,PI 518660
2015,2,21,28,43,4,New_Lines,1,4,1,ND1,NSL 32723
2015,3,40,42,1775,15,New_Lines,1,1,13,MR14 (Longfellow Flint),Ames 30531
2015,3,27,68,1406,15,New_Lines,1,4,9,AusTRCF 305802,NSL 437878
2015,2,37,32,526,7,New_Lines,1,4,6,OC4,PI 553057
2015,2,31,9,325,15,New_Lines,1,2,4,A374,Ames 23427
2015,2,30,18,302,14,New_Lines,1,3,4,PHJ75,PI 601776
2015,3,12,44,928,14,New_Lines,1,1,4,PHR47,PI 601572
2015,3,7,56,786,14,New_Lines,1,3,2,W64A ae,Ames 26767
2015,2,22,17,63,6,New_Lines,1,3,1,T9,PI 340819
2015,2,24,29,133,4,New_Lines,1,4,2,C18,Ames 22017
2015,2,36,25,490,17,New_Lines,1,4,6,Pa392,PI 517968
2015,2,25,3,139,26,New_Lines,1,1,2,C5,Ames 26813
2015,3,35,67,1647,18,New_Lines,1,4,12,Hi61,PI 641243
2015,2,28,13,239,10,New_Lines,1,2,3,W117HT,Ames 8399
2015,2,27,28,222,6,New_Lines,1,4,3,NJ 159,Ames 22047
2015,2,20,18,10,17,New_Lines,1,3,1,W 3722,Ames 22054
2015,3,12,59,943,15,New_Lines,1,3,4,C123,Ames 19313
2015,2,20,26,14,7,New_Lines,1,4,1,A424,Ames 23434
2015,2,34,22,426,14,New_Lines,1,3,5,A684su,PI 567792
2015,2,20,9,5,3,New_Lines,1,2,1,Mt42,Ames 20140
2015,3,33,48,1568,26,New_Lines,1,2,11,LH60,PI 601404
2015,3,8,66,826,24,New_Lines,1,4,3,PHN82,PI 601783
2015,3,35,55,1636,12,New_Lines,1,3,12,AusTRCF 305795,NSL 437871
2015,3,17,54,1088,19,New_Lines,1,3,6,NC342,Ames 27167
2015,2,31,4,320,5,New_Lines,1,1,4,A239,Ames 23405
2015,3,26,62,1369,15,New_Lines,1,4,9,Va35,PI 587150
2015,2,35,1,437,25,New_Lines,1,1,6,MS100,Ames 24726
2015,2,41,6,618,16,New_Lines,1,1,8,Mo46,PI 583351
2015,3,24,55,1301,6,New_Lines,1,3,8,Pa762,Ames 27184
2015,3,14,60,1002,24,New_Lines,1,3,5,6M502A,PI 546484
2015,3,6,58,759,15,New_Lines,1,3,2,Yu796_NS,Ames 27196
2015,2,30,13,299,3,New_Lines,1,2,4,BAI TOU SHUANG IN.(JI 095,PI 405711
2015,3,22,51,1238,29,New_Lines,1,2,7,PHM10,PI 601778
2015,2,28,12,238,14,New_Lines,1,2,3,A674,Ames 23498
2015,2,40,13,598,12,New_Lines,1,2,7,14H-588-68(B),PI 358523
2015,3,36,43,1655,19,New_Lines,1,1,12,Va17,Ames 19002
2015,3,3,63,672,18,New_Lines,1,4,1,WXB14,Ames 26744
2015,3,36,63,1675,29,New_Lines,1,4,12,TZSTRI113,PI 639937
2015,2,20,3,3,14,New_Lines,1,1,1,Il14H,Ames 27118
2015,3,5,39,710,10,New_Lines,1,1,2,27A-317-68(C),PI 358525
2015,3,4,64,703,18,New_Lines,1,4,1,E205-1-1-1 INBRED (S5 SYN. ANVELD),PI 221747
2015,2,23,31,105,10,New_Lines,1,4,2,S 3,PI 535901
2015,2,33,7,383,6,New_Lines,1,1,5,AD 175,Ames 28973
2015,2,26,21,186,3,New_Lines,1,3,3,ND211,NSL 32725
2015,3,7,58,788,10,New_Lines,1,3,2,SD59,PI 538231
2015,2,38,30,554,29,New_Lines,1,4,7,CH157,Ames 22441
2015,3,30,59,1488,26,New_Lines,1,3,10,CI 83A,CIze 83
2015,3,21,43,1199,5,New_Lines,1,1,7,AusTRCF 306294,NSL 437980
2015,2,39,5,560,14,New_Lines,1,1,7,MS72,Ames 24713
2015,3,23,41,1259,4,New_Lines,1,1,8,I198,Ames 24590
2015,2,37,12,507,25,New_Lines,1,2,6,BO9,PI 601007
2015,3,9,46,838,25,New_Lines,1,2,3,Va102,PI 587151
2015,2,27,8,204,13,New_Lines,1,1,3,S 14,PI 369439
2015,2,24,9,114,26,New_Lines,1,2,2,A223,Ames 23404
2015,3,30,55,1484,10,New_Lines,1,3,10,GE72,Ames 10255
2015,3,38,53,1726,10,New_Lines,1,3,13,NO. 1032 INBRED,PI 303928
2015,3,10,55,877,25,New_Lines,1,3,3,CI 75,Ames 26134
2015,2,33,19,393,14,New_Lines,1,3,5,CS405,PI 559916
2015,3,5,65,736,13,New_Lines,1,4,2,W 6366,Ames 22059
2015,3,35,39,1621,26,New_Lines,1,1,12,CI7,CIze 7
2015,2,27,30,224,26,New_Lines,1,4,3,ND259,PI 550571
2015,2,22,4,50,14,New_Lines,1,1,1,226,PI 233314
2015,2,35,15,450,10,New_Lines,1,2,6,Ms100,Ames 22442
2015,3,12,62,944,7,New_Lines,1,4,4,OC18,PI 596505
2015,3,39,41,1744,19,New_Lines,1,1,13,Va12C,Ames 14113
2015,2,33,6,382,25,New_Lines,1,1,5,IA2132 Goodman-Buckler,Ames 28364
2015,2,29,5,261,15,New_Lines,1,1,4,A502,Ames 23445
2015,3,3,50,659,3,New_Lines,1,2,1,R218,NSL 29305
2015,3,2,49,636,24,New_Lines,1,2,1,A166,Ames 23398
2015,3,11,63,915,18,New_Lines,1,4,4,NC264,PI 520774
2015,3,18,45,1111,10,New_Lines,1,2,6,AusTRCF 306236,NSL 437931
2015,3,14,65,1007,3,New_Lines,1,4,5,Mo45,PI 583350
2015,3,39,60,1763,15,New_Lines,1,3,13,NC368,Ames 27180
2015,2,38,9,533,13,New_Lines,1,2,7,MS214,Ames 24743
2015,3,23,48,1266,24,New_Lines,1,2,8,HB8229,PI 601564
2015,2,30,26,310,3,New_Lines,1,4,4,P39M96,Ames 22048
2015,3,11,54,907,18,New_Lines,1,3,4,NY 159 (Neveh Yaar),PI 200182
2015,2,38,19,543,25,New_Lines,1,3,7,CH9,Ames 27068
2015,2,30,20,304,25,New_Lines,1,3,4,A662,PI 607522
2015,3,19,58,1152,25,New_Lines,1,3,6,P8,Ames 26021
2015,3,13,41,955,10,New_Lines,1,1,4,H71,Ames 26793
2015,3,7,43,773,4,New_Lines,1,1,2,Os420,NSL 65874
2015,2,31,19,333,5,New_Lines,1,3,4,A625,Ames 23461
2015,3,33,44,1564,14,New_Lines,1,1,11,CML 323,Ames 27097
2015,3,4,55,694,15,New_Lines,1,3,1,B21,NSL 65868
2015,2,39,19,574,19,New_Lines,1,3,7,Chi-tan 120,PI 427111
2015,2,22,26,72,27,New_Lines,1,4,1,Prior B,PI 433486
2015,3,21,44,1200,19,New_Lines,1,1,7,AusTRCF 306344,NSL 438030
2015,2,38,29,553,16,New_Lines,1,4,7,Ill 101Q,Ames 22033
2015,2,34,23,427,13,New_Lines,1,3,5,Ms71,PI 587137
2015,2,39,6,561,5,New_Lines,1,1,7,MS79,Ames 24719
2015,3,15,54,1027,29,New_Lines,1,3,5,STRAIN T33-399-68(B),PI 358538
2015,3,9,50,842,25,New_Lines,1,2,3,MS67,Ames 24710
2015,3,30,49,1478,6,New_Lines,1,2,10,AD SA15,Ames 29015
2015,3,25,62,1338,7,New_Lines,1,4,8,AusTRCF 306290,NSL 437976
2015,2,37,4,500,15,New_Lines,1,1,6,A682,PI 587143
2015,2,39,8,563,25,New_Lines,1,1,7,MS211,Ames 24742
2015,2,36,32,496,15,New_Lines,1,4,6,4F-234 BX 4,PI 198892
2015,3,23,59,1275,17,New_Lines,1,3,8,Mo32W,Ames 28932
2015,3,30,64,1492,27,New_Lines,1,4,10,CI 34,Ames 26127
2015,2,37,2,498,7,New_Lines,1,1,6,A686su,PI 567794
2015,2,30,29,313,18,New_Lines,1,4,4,SD57,PI 538235
2015,2,21,15,30,7,New_Lines,1,2,1,Me 121 Wa,Ames 22039
2015,2,26,12,177,25,New_Lines,1,2,3,Prior C,PI 433487
2015,2,30,19,303,4,New_Lines,1,3,4,PHN37,PI 601781
2015,2,21,24,39,24,New_Lines,1,3,1,A401,Ames 23430
2015,3,21,64,1219,5,New_Lines,1,4,7,R159,NSL 30890
2015,2,35,22,457,25,New_Lines,1,3,6,A310,Ames 23419
2015,2,30,5,291,3,New_Lines,1,1,4,A13-2 INBRED (POTCHEFSTROOM PEARL),PI 221733
2015,2,24,19,124,5,New_Lines,1,3,2,A646,Ames 23481
2015,3,10,39,862,17,New_Lines,1,1,3,52220,Ames 2336
2015,2,28,4,230,17,New_Lines,1,1,3,A322,Ames 23422
2015,3,24,47,1295,27,New_Lines,1,2,8,H46,Ames 26786
2015,3,22,47,1234,19,New_Lines,1,2,7,NO. 1026 INBRED,PI 303927
2015,2,26,16,181,19,New_Lines,1,2,3,W182B,NSL 30062
2015,3,12,47,931,4,New_Lines,1,2,4,H84,PI 587128
2015,2,30,32,316,10,New_Lines,1,4,4,LH160,PI 539920
2015,3,10,49,871,3,New_Lines,1,2,3,R802A,NSL 117226
2015,2,23,20,95,14,New_Lines,1,3,2,PHK05,PI 601467
2015,2,37,25,520,5,New_Lines,1,4,6,Oh43,Ames 19288
2015,3,26,54,1362,25,New_Lines,1,3,9,PHP85,PI 559944
2015,2,29,23,277,25,New_Lines,1,3,4,MS226,Ames 24751
2015,3,23,62,1278,15,New_Lines,1,4,8,Va30,Ames 19009
2015,3,8,67,827,3,New_Lines,1,4,3,SD40,PI 606768
2015,3,23,56,1272,26,New_Lines,1,3,8,LH1,PI 644101
2015,3,31,43,1503,13,New_Lines,1,1,10,A302-1-2(S10) INBRED (SERVENTINA),PI 221811
2015,3,39,68,1770,4,New_Lines,1,4,13,Mo28W,Ames 28928
2015,3,32,68,1557,5,New_Lines,1,4,11,Oh43 sh2,Ames 26766
2015,3,40,65,1798,12,New_Lines,1,4,13,NO. 1266 INBRED,PI 303941
2015,3,25,52,1329,16,New_Lines,1,2,8,B46,PI 550469
2015,2,38,32,556,6,New_Lines,1,4,7,A622,Ames 23459
2015,2,22,25,71,14,New_Lines,1,4,1,4664 INBRED,PI 415091
2015,3,3,49,658,13,New_Lines,1,2,1,R216,NSL 29303
2015,2,39,17,572,27,New_Lines,1,3,7,NIU 11,PI 391670
2015,2,37,21,516,27,New_Lines,1,3,6,DA BA TANG INB. (JI 0241),PI 405712
2015,3,2,59,642,29,New_Lines,1,3,1,A669,Ames 23493
2015,3,19,62,1156,24,New_Lines,1,4,6,MDF-13D,PI 600956
2015,2,34,25,429,4,New_Lines,1,4,5,A427,Ames 23435
2015,2,40,26,611,4,New_Lines,1,4,7,IBC2,PI 601459
2015,2,36,29,493,14,New_Lines,1,4,6,5120B,NSL 30905
2015,2,37,5,501,13,New_Lines,1,1,6,4F-342 CM 4,PI 198901
2015,3,32,37,1527,25,New_Lines,1,1,11,AusTRCF 306312,NSL 437998
2015,3,4,49,688,15,New_Lines,1,2,1,Ab18,PI 542937
2015,3,24,44,1292,16,New_Lines,1,1,8,R76,NSL 30875
2015,3,12,67,949,4,New_Lines,1,4,4,MS132,Ames 24730
2015,3,4,56,695,5,New_Lines,1,3,1,A258,NSL 81596
2015,3,17,59,1093,5,New_Lines,1,3,6,B91,PI 527700
2015,3,27,58,1396,19,New_Lines,1,3,9,W22,NSL 30053
2015,3,5,68,738,27,New_Lines,1,4,2,A15,Ames 23389
2015,3,26,68,1375,6,New_Lines,1,4,9,H22w,Ames 26776
2015,2,36,27,491,13,New_Lines,1,4,6,SD44,PI 524969
2015,2,37,3,499,13,New_Lines,1,1,6,H99,PI 587129
2015,3,12,50,934,19,New_Lines,1,2,4,NY6371,PI 610494
2015,3,24,64,1310,26,New_Lines,1,4,8,CI 4A,Ames 28948
2015,3,23,63,1279,13,New_Lines,1,4,8,Va37,Ames 19010
2015,3,19,64,1158,13,New_Lines,1,4,6,G80,PI 601037
2015,2,21,25,40,4,New_Lines,1,4,1,C49,Ames 28290
2015,3,37,45,1686,18,New_Lines,1,2,12,Mo25W,Ames 20118
2015,3,6,43,744,10,New_Lines,1,1,2,MS78,Ames 24718
2015,2,40,20,605,27,New_Lines,1,3,7,LH54,PI 601316
2015,2,28,6,232,27,New_Lines,1,1,3,PHJ40,PI 601321
2015,2,27,23,217,24,New_Lines,1,3,3,ND265,PI 546494
2015,3,12,68,950,25,New_Lines,1,4,4,CI 40H,Ames 26128
2015,3,7,42,772,19,New_Lines,1,1,2,R851,NSL 42807
2015,3,35,52,1633,19,New_Lines,1,2,12,Mo16W,PI 558531
2015,2,21,1,17,10,New_Lines,1,1,1,C38,Ames 23506
2015,2,33,21,395,4,New_Lines,1,3,5,AusTRCF 305819,NSL 437893
2015,2,22,16,62,14,New_Lines,1,2,1,CO117,Ames 27039
2015,2,27,29,223,10,New_Lines,1,4,3,ND257,PI 550561
2015,2,25,25,159,4,New_Lines,1,4,2,ND474,NSL 32739
2015,2,21,12,27,17,New_Lines,1,2,1,CL19,Ames 27026
2015,2,22,18,64,17,New_Lines,1,3,1,G22 T122,PI 340821
2015,2,26,28,192,17,New_Lines,1,4,3,ND256,PI 550554
2015,2,41,22,626,14,New_Lines,1,3,8,LH52,PI 601360
2015,3,17,51,1085,12,New_Lines,1,2,6,2 KM 368 INBRED,PI 267166
2015,2,39,7,562,3,New_Lines,1,1,7,MS80,Ames 24720
2015,2,27,2,198,16,New_Lines,1,1,3,CO109,PI 587125
2015,3,11,49,902,6,New_Lines,1,2,4,W117,PI 587153
2015,2,40,19,604,24,New_Lines,1,3,7,MBNA,PI 601209
2015,3,12,64,946,19,New_Lines,1,4,4,PHG35,PI 601008
2015,2,22,22,68,14,New_Lines,1,3,1,CMV3,Ames 27104
2015,3,4,44,683,24,New_Lines,1,1,1,B89,PI 509542
2015,2,32,22,366,4,New_Lines,1,3,5,A640,Ames 23477
2015,3,40,53,1786,14,New_Lines,1,3,13,NC296,Ames 27144
2015,3,6,44,745,7,New_Lines,1,1,2,MS106,Ames 24727
2015,2,37,9,504,27,New_Lines,1,2,6,B103,PI 594046
2015,3,13,66,978,25,New_Lines,1,4,4,B7,NSL 65863
2015,2,30,7,293,10,New_Lines,1,1,4,NO. 1004 INBRED,PI 303925
2015,3,24,42,1290,18,New_Lines,1,1,8,W374B,NSL 30068
2015,2,36,20,486,19,New_Lines,1,3,6,YING-55,PI 391665
2015,2,26,4,170,29,New_Lines,1,1,3,PLS 61/10870 subline-1,PI 343953
2015,2,37,20,515,10,New_Lines,1,3,6,11430,PI 601558
2015,3,37,68,1709,5,New_Lines,1,4,12,83IBI3,PI 555651
2015,3,10,62,884,7,New_Lines,1,4,3,NC260,Ames 27140
2015,2,33,30,404,26,New_Lines,1,4,5,NY 121 (Neveh Yaar),PI 340812
2015,2,25,16,150,24,New_Lines,1,2,2,A508,Ames 23446
2015,3,6,45,746,24,New_Lines,1,2,2,B107,PI 597925
2015,3,17,46,1082,15,New_Lines,1,2,6,Mo17 +/su,Ames 26764
2015,3,26,51,1359,13,New_Lines,1,2,9,WFg 3-9,Ames 2340
2015,2,27,31,225,10,New_Lines,1,4,3,ND260,PI 550573
2015,3,20,41,1167,26,New_Lines,1,1,7,NC262A,Ames 28412
2015,2,38,27,551,12,New_Lines,1,4,7,R219,NSL 29314
2015,3,7,52,782,15,New_Lines,1,2,2,R-28-2,PI 340863
2015,3,17,40,1076,19,New_Lines,1,1,6,MS204,Ames 24740
2015,2,25,24,158,26,New_Lines,1,3,2,A678,Ames 23502
2015,3,23,40,1258,7,New_Lines,1,1,8,4722,PI 587130
2015,3,12,57,941,4,New_Lines,1,3,4,C103,Ames 19284
2015,3,13,58,971,6,New_Lines,1,3,4,W22R,NSL 30067
2015,3,26,38,1346,7,New_Lines,1,1,9,T8144 INBRED,PI 267167
2015,3,3,58,667,19,New_Lines,1,3,1,A660,NSL 81600
2015,2,23,14,89,17,New_Lines,1,2,2,NO. 380,PI 303924
2015,2,27,27,221,3,New_Lines,1,4,3,NJ 116 Wb,Ames 22046
2015,2,21,11,26,24,New_Lines,1,2,1,CL18,Ames 27025
2015,3,12,52,936,18,New_Lines,1,2,4,Mo49,PI 634207
2015,3,14,47,990,12,New_Lines,1,2,5,NC334,Ames 27163
2015,3,32,59,1549,14,New_Lines,1,3,11,Pa871,Ames 19324
2015,2,38,8,532,27,New_Lines,1,1,7,BO46W,PI 591022
2015,3,22,68,1254,29,New_Lines,1,4,7,C40,Ames 22022
2015,2,32,16,361,14,New_Lines,1,2,5,A556,Ames 23450
2015,2,22,15,61,10,New_Lines,1,2,1,CMV3,Ames 27038
2015,2,37,30,524,19,New_Lines,1,4,6,GTS1,PI 550492
